entry_date,exit_date,side,days,entry_z,exit_z,pnl
2017-01-13,2017-01-25,short,8,2.070897885541779,0.47782991206696906,0.010328584337049529
2017-02-23,2017-04-05,short,30,2.0539350156216627,1.0462589468426007,-0.01725323611107621
2017-05-02,2017-05-05,short,4,2.048586385709313,0.01695692980024545,0.014673412503993122
2017-05-30,2017-06-14,long,12,-2.1274386796426317,0.16175398923612266,0.012272433265876792
2017-08-17,2017-08-24,short,6,2.287514242458341,0.08773290754639501,0.008651307198164204
2017-09-22,2017-10-20,long,21,-3.635798842064659,-0.28976746794909863,0.007645296911132027
2018-01-29,2018-03-12,short,30,2.503070943564183,1.8521860554753677,-0.022371854365240806
2018-09-10,2018-10-19,long,30,-2.7991375343978038,-0.16644956960198398,0.004220283476428666
2018-11-13,2018-12-27,short,30,2.084404435136478,2.2407860083255424,-0.018374081935632613
2018-12-31,2019-01-14,short,10,2.1745613836482653,0.35829891518933765,0.017223286177988628
2019-05-21,2019-07-02,short,30,2.1215622856127476,0.7485692452891224,-0.005851034793901699
2019-08-08,2019-09-06,long,21,-2.2277724281678304,-0.27984239685880324,0.007586950671172321
2019-10-29,2019-11-04,short,5,2.478878753071915,0.07144413502305999,0.008189961807838264
2019-11-21,2019-11-27,long,5,-2.14323104485761,-0.20828751289251102,0.0080394259756833
2020-02-03,2020-03-11,long,27,-2.3701593583683254,-0.0059417204023306846,0.0034669706523513533
2020-03-18,2020-03-18,short,1,3.665929105483196,-0.12754906043104647,0.03328010550105853
2020-03-30,2020-03-30,long,1,-2.2731995293446414,0.2808053305900672,0.02836856727879211
2020-04-08,2020-04-14,long,4,-2.015353275247236,-0.1895534110923394,0.01953131503668515
2020-04-22,2020-05-18,long,19,-2.2896328634865433,-0.4192237713262884,0.009991333660043455
2020-08-27,2020-09-16,long,14,-2.3305017428370474,-0.14280046386065823,0.011048944484582268
2020-10-23,2020-11-30,short,26,2.302036066390606,0.42123909161688344,-0.006010944825292852
2021-01-27,2021-02-02,short,5,2.222494699468657,0.3976340180061076,0.008233287912155385
2021-03-09,2021-04-15,long,27,-2.6976199334191953,-0.3625934033080994,-0.006636347065256287
2021-05-20,2021-06-04,long,11,-2.0756695056991843,-0.360563289211204,0.00961620241041583
2021-09-29,2021-10-26,long,20,-3.037760442607233,-0.42609413982095246,0.001717924097691892
2021-11-10,2021-12-08,long,20,-2.106775973423767,-0.257660550027045,-0.0018712582140576473
2022-01-05,2022-01-06,short,2,2.1220561397857223,0.2738605029506667,0.013342299405648239
2022-01-27,2022-02-15,long,14,-2.06536545789934,-0.27129368722380176,0.006353363619766794
2022-04-04,2022-05-06,short,24,2.004099875329163,0.19256159264588288,0.013618131027626657
2022-06-10,2022-07-14,long,23,-2.6968651423327135,-0.045586845153625766,0.007981022049525333
2022-11-11,2022-12-23,short,30,2.083169760537305,1.236891930921365,-0.028577037559197382
2023-05-10,2023-06-08,long,21,-2.0064211051846037,-0.3943921147679387,0.0047239820814106714
2023-06-16,2023-07-12,short,17,2.36605978230457,0.1604829827524697,0.010977091780264958
2023-09-22,2023-09-28,long,5,-2.0868248095131743,-0.3457179187410825,0.010814982413628771
2023-11-02,2023-11-10,short,7,2.710725587224353,0.10725676854525572,0.010417325593757853
2023-11-29,2023-12-04,short,4,2.02738270855969,0.17347855657809563,0.00849971218235468
2023-12-13,2024-01-16,short,22,2.2409684583098226,-0.09420179192607868,0.002289773295930164
2024-04-17,2024-05-03,long,13,-3.358654822269751,0.0961664346067629,0.009580361224276857
2024-05-17,2024-05-22,short,4,2.1322592467584434,0.49257214742693795,0.00907588748181909
2024-06-06,2024-07-19,short,30,2.156505661291271,0.26228764920035147,-0.0001364696948800148
2024-08-06,2024-08-19,long,10,-2.2130366261890444,-0.3729545958645769,0.012690137562363146
2024-10-24,2024-12-05,long,30,-2.22534982032457,-1.6718869858813872,-0.013663832113309349
